"dt","track_name","artist_name","track_popularity","track_duration_minutes","popularity_tier","is_explicit","region","album_name","release_year","played_at"
"2025-08-31","Ric Flair Drip (with Metro Boomin)","Offset, Metro Boomin","78","2.88","Medium","true","AR","Without Warning","2017","2025-08-31T20:58:25.373Z"
"2025-08-31","gun smoke","21 Savage","50","2.7901666666666665","Low","true","AR","i am > i was","2018","2025-08-31T20:53:15.159Z"
"2025-08-31","Drugs N Hella Melodies (feat. Kali Uchis)","Don Toliver, Kali Uchis","66","3.30095","Medium","true","AR","Life of a DON","2021","2025-08-31T20:50:28.073Z"
"2025-08-31","Trance (with Travis Scott & Young Thug)","Metro Boomin, Travis Scott, Young Thug","81","3.2464333333333335","High","true","AR","HEROES & VILLAINS","2022","2025-08-31T20:46:46.674Z"
"2025-08-31","Exotic","Priyanka Chopra, Pitbull","45","4.1011","Low","false","AR","Exotic","2013","2025-08-31T20:43:32.436Z"
"2025-08-31","Uff Teri Adaa","Shankar Mahadevan, Alyssa Mendonsa","69","5.068133333333333","Medium","false","AR","Karthik Calling Karthik","2010","2025-08-31T04:44:53.692Z"
"2025-08-31","Tu Meri","Vishal Dadlani","65","4.2848","Medium","false","AR","Bang Bang (Original Motion Picture Soundtrack)","2014","2025-08-31T04:39:48.941Z"
"2025-08-31","Jab Mila Tu","Vishal-Shekhar, Vishal Dadlani","54","4.19755","Low","false","AR","I Hate Luv Storys (Original Motion Picture Soundtrack)","2010","2025-08-31T04:35:31.126Z"
"2025-08-31","Party On My Mind","Pritam, KK, Shefali Alvares, Yo Yo Honey Singh, Prashant Ingole","66","3.7022166666666667","Medium","false","AR","Race 2 (Original Motion Picture Soundtrack)","2012","2025-08-31T04:31:19.018Z"
"2025-08-31","Where's the Party Tonight","Shankar-Ehsaan-Loy, Shaan, Vasundhara Das, Loy Mendonsa, Shankar Mahadevan","56","6.302666666666667","Low","false","AR","Kabhi Alvida Naa Kehna (Original Motion Picture Soundtrack)","2006","2025-08-31T04:23:24.509Z"
"2025-08-31","Badtameez Dil","Pritam, Benny Dayal, Shefali Alvares","68","4.212666666666666","Medium","false","AR","Yeh Jawaani Hai Deewani","2013","2025-08-31T04:17:07.672Z"
"2025-08-31","Subha Hone Na De","Pritam, Mika Singh, Shefali Alvares","69","4.8116","Medium","false","AR","Desi Boyz","2011","2025-08-31T04:12:52.935Z"
"2025-08-31","Wildest Dreams (Taylor's Version)","Taylor Swift","74","3.6738833333333334","Medium","false","AR","Wildest Dreams (Taylor's Version)","2021","2025-08-31T04:03:45.268Z"
"2025-08-31","Enchanted (Taylor's Version)","Taylor Swift","79","5.88755","Medium","false","AR","Speak Now (Taylor's Version)","2023","2025-08-31T03:58:56.026Z"
"2025-08-31","Blank Space","Taylor Swift","75","3.863766666666667","Medium","false","CA","1989","2014","2025-08-31T03:53:02.341Z"
"2025-08-31","22 (Taylor's Version)","Taylor Swift","66","3.8493333333333335","Medium","false","AR","Red (Taylor's Version)","2021","2025-08-31T03:48:57.556Z"
"2025-08-31","I Don’t Wanna Live Forever (Fifty Shades Darker)","ZAYN, Taylor Swift","71","4.094216666666667","Medium","false","AR","Fifty Shades Darker (Original Motion Picture Soundtrack)","2017","2025-08-31T03:43:54.722Z"
"2025-08-31","All Of The Girls You Loved Before","Taylor Swift","74","3.6901166666666665","Medium","false","AR","All Of The Girls You Loved Before","2019","2025-08-31T03:39:48.731Z"
"2025-08-29","making the bed","Olivia Rodrigo","75","3.314433333333333","Medium","false","AR","GUTS","2023","2025-08-29T07:16:21.539Z"
"2025-08-29","Daylight","Taylor Swift","82","4.890883333333333","High","false","AR","Lover","2019","2025-08-29T07:12:56.696Z"
"2025-08-29","A Night To Remember","beabadoobee, Laufey","76","3.8898","Medium","false","AR","A Night To Remember","2023","2025-08-29T07:08:05.628Z"
"2025-08-29","Coincidence","Sabrina Carpenter","74","2.7367","Medium","false","AR","Short n' Sweet","2024","2025-08-29T07:04:15.564Z"
"2025-08-29","The Hardest Part","Olivia Dean","78","2.9341333333333335","Medium","false","AR","Messy","2023","2025-08-29T07:01:33.105Z"
"2025-08-29","21","Gracie Abrams","71","3.0862","Medium","false","AR","minor","2020","2025-08-29T06:58:39.997Z"
"2025-08-29","august","Taylor Swift","88","4.365366666666667","High","false","AR","folklore","2020","2025-08-29T06:53:08.432Z"
"2025-08-29","No One Noticed","The Marías","89","3.9484333333333335","High","false","AR","Submarine","2024","2025-08-29T06:48:54.388Z"
"2025-08-29","Already Over","Sabrina Carpenter","64","2.8471166666666665","Medium","false","AR","emails i can't send","2022","2025-08-29T06:44:53.957Z"
